Chỉ tiêu,Mã số,Thuyết minh,Số cuối kỳ,Số đầu kỳ
TÀI SẢN,,,,
A- TÀI SẢN NGẮN HẠN,100,,"4,344,553,691,137","4,971,363,590,401"
I. Tiền và các khoản tương đương tiền,110,,"267,894,557,509","291,674,680,985"
1. Tiền,111,,"261,774,557,509","233,349,201,535"
2. Các khoản tương đương tiền,112,,"6,120,000,000","58,325,479,450"
II. Các khoản đầu tư tài chính ngắn hạn,120,,"727,670,657,534","1,251,822,102,192"
1. Chứng khoán kinh doanh,121,,0,"59,670,020,000"
2. Dự phòng giảm giá chứng khoán kinh doanh,122,,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,123,,"727,670,657,534","1,192,152,082,192"
III. Các khoản phải thu ngắn hạn,130,,"2,316,599,745,175","2,079,278,885,563"
1. Phải thu ngắn hạn của khách hàng,131,,"535,576,590,386","726,708,606,479"
2. Trả trước cho người bán ngắn hạn,132,,"678,970,729,014","635,624,680,580"
3. Phải thu nội bộ ngắn hạn,133,,0,0
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,,0,0
5. Phải thu về cho vay ngắn hạn,135,,"898,492,404,396","536,662,966,849"
6. Phải thu ngắn hạn khác,136,,"203,560,021,379","180,282,631,655"
7. Dự phòng phải thu ngắn hạn khó đòi,137,,0,0
8. Tài sản Thiếu chờ xử lý,139,,0,0
IV. Hàng tồn kho,140,,"897,444,507,113","1,221,502,966,657"
1. Hàng tồn kho,141,,"897,444,507,113","1,221,855,436,361"
2. Dự phòng giảm giá hàng tồn kho,149,,0,"-352,469,704"
V.Tài sản ngắn hạn khác,150,,"134,944,223,806","127,084,955,004"
1. Chi phí trả trước ngắn hạn,151,,"30,859,324,605","28,345,276,355"
2. Thuế GTGT được khấu trừ,152,,"99,331,907,843","97,404,425,420"
3. Thuế và các khoản khác phải thu Nhà nước,153,,"4,752,991,358","1,335,253,229"
4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,0,0
5. Tài sản ngắn hạn khác,155,,0,0
B. TÀI SẢN DÀI HẠN,200,,"3,442,031,148,277","3,016,090,568,130"
I. Các khoản phải thu dài hạn,210,,"335,245,450,918","96,367,470,288"
1. Phải thu dài hạn của khách hàng,211,,0,0
2. Trả trước cho người bán dài hạn,212,,0,0
3. Vốn kinh doanh ở đơn vị trực thuộc,213,,0,0
4. Phải thu nội bộ dài hạn,214,,0,0
5. Phải thu về cho vay dài hạn,215,,"316,150,000,000","75,700,000,000"
6. Phải thu dài hạn khác,216,,"19,095,450,918","20,667,470,288"
7. Dự phòng phải thu dài hạn khó đòi,219,,0,0
II.Tài sản cố định,220,,"1,986,864,018,217","2,081,103,918,415"
1. Tài sản cố định hữu hình,221,,"1,906,205,638,238","1,999,153,049,828"
- Nguyên giá,222,,"3,006,709,640,808","2,982,612,885,000"
- Giá trị hao mòn lũy kế,223,,"-1,100,504,002,570","-983,459,835,172"
2. Tài sản cố định thuê tài chính,224,,0,0
- Nguyên giá,225,,0,0
- Giá trị hao mòn lũy kế,226,,0,0
3. Tài sản cố định vô hình,227,,"80,658,379,979","81,950,868,587"
- Nguyên giá,228,,"95,058,704,865","94,825,808,865"
- Giá trị hao mòn lũy kế,229,,"-14,400,324,886","-12,874,940,278"
III. Bất động sản đầu tư,230,,"239,089,489,059","222,816,109,964"
- Nguyên giá,231,,"253,979,026,870","228,536,485,004"
- Giá trị hao mòn lũy kế,232,,"-14,889,537,811","-5,720,375,040"
IV. Tài sản dở dang dài hạn,240,,"509,541,429,462","293,779,658,961"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,0,0
2. Chi phí xây dựng cơ bản dở dang,242,,"509,541,429,462","293,779,658,961"
V. Đầu tư tài chính dài hạn,250,,"182,496,701,830","123,559,449,802"
1. Đầu tư vào công ty con,251,,0,0
"2. Đầu tư vào công ty liên kết, liên doanh",252,,"24,414,637,509","15,179,449,802"
3. Đầu tư góp vốn vào đơn vị khác,253,,"47,257,112,000",0
4. Dự phòng đầu tư tài chính dài hạn,254,,"-2,555,047,679",0
5. Đầu tư nắm giữ đến ngày đáo hạn,255,,"113,380,000,000","108,380,000,000"
VI. Tài sản dài hạn khác,260,,"188,794,058,791","198,463,960,700"
1. Chi phí trả trước dài hạn,261,,"188,662,388,275","198,274,060,283"
2. Tài sản thuế thu nhập hoãn lại,262,,"131,670,516","189,900,417"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,0,0
4. Tài sản dài hạn khác,268,,0,0
5. Lợi thế thương mại,269,,0,0
TỔNG CỘNG TÀI SẢN,270,,"7,786,584,839,414","7,987,454,158,531"
NGUỒN VỐN,.,,0,0
C. NỢ PHẢI TRẢ,300,,"4,544,986,504,306","4,732,215,965,361"
I. Nợ ngắn hạn,310,,"3,174,568,932,453","3,236,645,563,011"
1. Phải trả người bán ngắn hạn,311,,"493,797,302,368","604,445,172,076"
2. Người mua trả tiền trước ngắn hạn,312,,"70,965,720,591","98,696,555,635"
3. Thuế và các khoản phải nộp nhà nước,313,,"22,171,710,564","26,948,489,726"
4. Phải trả người lao động,314,,"19,666,273,644","22,621,950,526"
5. Chi phí phải trả ngắn hạn,315,,"30,156,841,997","36,452,750,488"
6. Phải trả nội bộ ngắn hạn,316,,0,0
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,0,0
8. Doanh thu chưa thực hiện ngắn hạn,318,,"67,595,071,251","41,875,937,911"
9. Phải trả ngắn hạn khác,319,,"5,648,073,809","4,735,482,050"
10. Vay và nợ thuê tài chính ngắn hạn,320,,"2,459,494,332,797","2,400,086,574,603"
11. Dự phòng phải trả ngắn hạn,321,,0,0
12. Quỹ khen thưởng phúc lợi,322,,"5,073,605,432","782,649,996"
13. Quỹ bình ổn giá,323,,0,0
14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,0,0
II. Nợ dài hạn,330,,"1,370,417,571,853","1,495,570,402,350"
1. Phải trả người bán dài hạn,331,,0,0
2. Người mua trả tiền trước dài hạn,332,,0,0
3. Chi phí phải trả dài hạn,333,,0,0
4. Phải trả nội bộ về vốn kinh doanh,334,,0,0
5. Phải trả nội bộ dài hạn,335,,0,0
6. Doanh thu chưa thực hiện dài hạn,336,,"119,542,844,706","77,441,518,886"
7. Phải trả dài hạn khác,337,,"3,297,466,993","24,231,793,347"
8. Vay và nợ thuê tài chính dài hạn,338,,"1,225,279,196,361","1,371,510,124,549"
9. Trái phiếu chuyển đổi,339,,0,0
10. Cổ phiếu ưu đãi,340,,0,0
11. Thuế thu nhập hoãn lại phải trả,341,,"22,298,063,793","22,386,965,568"
12. Dự phòng phải trả dài hạn,342,,0,0
13. Quỹ phát triển khoa học và công nghệ,343,,0,0
D.VỐN CHỦ SỞ HỮU,400,,"3,241,598,335,108","3,255,238,193,170"
I. Vốn chủ sở hữu,410,,"3,241,598,335,108","3,255,238,193,170"
1. Vốn góp của chủ sở hữu,411,,"1,711,999,760,000","1,711,999,760,000"
- Cổ phiếu phổ thông có quyền biểu quyết,411a,,"1,711,999,760,000","1,711,999,760,000"
- Cổ phiếu ưu đãi,411b,,0,0
2. Thặng dư vốn cổ phần,412,,"532,112,689,329","532,112,689,329"
3. Quyền chọn chuyển đổi trái phiếu,413,,0,0
4. Vốn khác của chủ sở hữu,414,,0,0
5. Cổ phiếu quỹ,415,,0,0
6. Chênh lệch đánh giá lại tài sản,416,,0,0
7. Chênh lệch tỷ giá hối đoái,417,,"-1,104,349,379","-337,778,069"
8. Quỹ đầu tư phát triển,418,,"80,481,616,464","67,258,859,051"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,0,0
10. Quỹ khác thuộc vốn chủ sở hữu,420,,"13,177,404,323","13,177,404,323"
11. Lợi nhuận sau thuế chưa phân phối,421,,"670,586,342,115","602,685,892,796"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,"551,182,103,864","142,219,983,017"
- LNST chưa phân phối kỳ này,421b,,"119,404,238,251","460,465,909,779"
12. Nguồn vốn đầu tư XDCB,422,,0,0
13. Lợi ích cổ đông không kiểm soát,429,,"234,344,872,256","328,341,365,740"
II. Nguồn kinh phí và quỹ khác,430,,0,0
1. Nguồn kinh phí,431,,0,0
2. Nguồn kinh phí đã hình thành TSCĐ,432,,0,0
TỔNG CỘNG NGUỒN VỐN,440,,"7,786,584,839,414","7,987,454,158,531"
