Chỉ tiêu,Mã số,Thuyết minh,Lũy kế từ đầu năm đến cuối kỳ này Năm nay,Lũy kế từ đầu năm đến cuối kỳ này Năm trước
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",01,,"183,347,068,971","95,891,625,388"
2. Tiền chi trả cho người cung cấp hàng hóa và dịch vụ,02,,"-214,196,324,625","-75,434,772,637"
3. Tiền chi trả cho người lao động,03,,"-1,862,497,159","-1,891,023,392"
4. Tiền lãi vay đã trả,04,,"-5,043,428,938","-7,091,812,747"
5. Tiền chi nộp thuế thu nhập doanh nghiệp,05,,"-5,914,654,233",
6. Tiền thu khác từ hoạt động kinh doanh,06,,"16,415,383,281","33,580,000,000"
7. Tiền chi khác cho hoạt động kinh doanh,07,,"-13,846,204,700","-24,125,122,072"
Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,"-41,100,657,403","20,928,894,540"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,"-1,940,271,209","-12,176,834,853"
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,0,0
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,0,0
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,0,0
5.Tiền chi đầu tư góp vốn vào đơn vị khác,25,,0,0
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,0,0
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,"1,449,290,813","318,045,847"
Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,"-490,980,396","-11,858,789,006"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,0,0
"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,0,0
3.Tiền thu từ đi vay,33,,"179,575,048,827","126,983,007,372"
4.Tiền chi trả nợ gốc vay,34,,"-136,497,772,146","-133,654,287,407"
5. Tiền chi trả nợ thuê tài chính,35,,"-1,722,166,320","-1,733,266,320"
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,0,0
Lưu chuyển tiền thuần từ hoạt động tài chính,40,,"41,355,110,361","-8,404,546,355"
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,,"-236,527,438","665,559,179"
Tiền và tương đương tiền đầu kỳ,60,,"6,716,559,064","141,159,364"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,"7,821,727",
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),70,,"6,487,853,353","806,718,543"
